id|entity_id|kind|payload|created_at|local_time
4|sp_r1n1udhv|sprint_created|{"name": "Demo Sprint", "date_start": "2026-07-02", "date_end": "2026-07-15", "source": "demo"}|1783263201|2026-07-05 15:53:21
5|si_3c3xszh9|sprint_item_created|{"title": "Ship the demo feature end to end.", "status": "active", "sprint_id": "sp_r1n1udhv", "source": "demo"}|1783263201|2026-07-05 15:53:21
6|si_we98h5dv|sprint_item_created|{"title": "Research the search index options.", "status": "todo", "sprint_id": "sp_r1n1udhv", "source": "demo"}|1783263201|2026-07-05 15:53:21
7|si_z14akv2g|sprint_item_created|{"title": "Retire the legacy export job.", "status": "done", "sprint_id": "sp_r1n1udhv", "source": "demo"}|1783263201|2026-07-05 15:53:21
8|t_gfsfcm7z|ticket_created|{"title": "Draft the onboarding email success criteria.", "state": "needs_success", "alias": null, "source": "demo"}|1783263201|2026-07-05 15:53:21
9|t_ypkj18nq|ticket_created|{"title": "Choose the search indexing approach.", "state": "needs_approach", "alias": null, "source": "demo"}|1783263201|2026-07-05 15:53:21
10|t_8gvxzed7|ticket_created|{"title": "Plan the demo feature rollout.", "state": "needs_plan", "alias": null, "source": "demo"}|1783263201|2026-07-05 15:53:21
11|t_8gvxzed7|link_added|{"from_id": "t_8gvxzed7", "to_id": "si_3c3xszh9", "kind": "belongs_to", "source": "demo"}|1783263201|2026-07-05 15:53:21
12|t_9z0smrus|ticket_created|{"title": "Implement the demo feature slice.", "state": "in_progress", "alias": null, "source": "demo"}|1783263201|2026-07-05 15:53:21
13|t_9z0smrus|link_added|{"from_id": "t_9z0smrus", "to_id": "si_3c3xszh9", "kind": "belongs_to", "source": "demo"}|1783263201|2026-07-05 15:53:21
14|t_1jzcy2dw|ticket_created|{"title": "Review the analytics dashboard numbers.", "state": "needs_review", "alias": null, "source": "demo"}|1783263201|2026-07-05 15:53:21
15|t_33h01hb8|ticket_created|{"title": "Write the release notes.", "state": "done", "alias": null, "source": "demo"}|1783263201|2026-07-05 15:53:21
16|t_9wcvkjr8|ticket_created|{"title": "Prototype the voice input toggle.", "state": "dropped", "alias": null, "source": "demo"}|1783263201|2026-07-05 15:53:21
17|t_m9kf04t2|ticket_created|{"title": "Fix the flaky login test.", "state": "in_progress", "alias": null, "source": "demo"}|1783263201|2026-07-05 15:53:21
18|t_m9kf04t2|link_added|{"from_id": "t_m9kf04t2", "to_id": "t_1jzcy2dw", "kind": "blocks", "source": "demo"}|1783263201|2026-07-05 15:53:21
19|day_2026-07-05|day_created|{"source": "demo"}|1783263201|2026-07-05 15:53:21
20|day_2026-07-05|day_ticket_added|{"ticket_id": "t_9z0smrus", "position": 0, "cause": "demo", "source": "demo"}|1783263201|2026-07-05 15:53:21
21|day_2026-07-05|day_ticket_added|{"ticket_id": "t_m9kf04t2", "position": 1, "cause": "demo", "source": "demo"}|1783263201|2026-07-05 15:53:21
22|day_2026-07-05|day_ticket_added|{"ticket_id": "t_1jzcy2dw", "position": 2, "cause": "demo", "source": "demo"}|1783263201|2026-07-05 15:53:21
23|day_2026-07-04|day_closed|{"done_count": 0, "not_done_count": 0}|1783263211|2026-07-05 15:53:31
24|t_gfsfcm7z|grant_changed|{"ceiling": "needs_plan", "at_cap": "propose", "cause": "human_grant"}|1783263224|2026-07-05 15:53:44
25|t_gfsfcm7z|proposal_accepted|{"field": "success", "body": "Success means there is a short, reviewable success-criteria draft for the onboarding email, covering:\n\n- who the email is for and what they should understand or do next;\n- the message promise in one sentence;\n- required content points and explicit exclusions;\n- measurable acceptance checks for clarity, tone, and next action;\n- the handoff question(s) a reviewer must answer before the email is drafted.\n\nThe draft is good enough for a human to approve or edit without reopening the whole onboarding strategy swamp. Mercifully.\n", "resolved_by": "auto", "edited": false}|1783263321|2026-07-05 15:55:21
26|t_gfsfcm7z|state_changed|{"from": "needs_success", "to": "needs_approach", "cause": "auto_accept"}|1783263321|2026-07-05 15:55:21
27|t_gfsfcm7z|recap_updated|{}|1783263321|2026-07-05 15:55:21
28|t_gfsfcm7z|proposal_accepted|{"field": "approach", "body": "Approach: define the success criteria as a practical writing brief. Keep it audience-led, outcome-led, and measurable enough that the later email draft can be judged without taste-wrestling.\n\nShape the criteria around five blocks: audience, intended action, core promise, must/avoid content, and review checks. Avoid inventing product specifics beyond the ticket context; mark unknowns as reviewer questions.\n", "resolved_by": "auto", "edited": false}|1783263321|2026-07-05 15:55:21
29|t_gfsfcm7z|state_changed|{"from": "needs_approach", "to": "needs_plan", "cause": "auto_accept"}|1783263321|2026-07-05 15:55:21
30|t_gfsfcm7z|recap_updated|{}|1783263321|2026-07-05 15:55:21
31|t_gfsfcm7z|proposal_filed|{"field": "plan", "body": "Plan:\n\n1. Draft the success-criteria brief in five sections:\n   - Audience: new Vylo users/customers receiving the onboarding email.\n   - Desired action: understand the first useful next step and feel confident enough to take it.\n   - Core promise: the email makes onboarding feel simple, specific, and worth continuing.\n   - Must include / must avoid: include first-step guidance, expected value, and support path; avoid generic welcome fluff, feature dumps, and unexplained jargon.\n   - Review checks: clarity, tone, specificity, and one obvious next action.\n\n2. Add reviewer questions for unknowns rather than pretending omniscience:\n   - Which user segment is this for?\n   - What exact first action should the email drive?\n   - What product proof or benefit is safest to mention?\n\n3. Hand off the brief as the acceptance gate for the later email draft: if a draft satisfies these checks, it passes; if not, the issue is visible instead of becoming vibes in a trench coat.\n", "proposed_by": "agent"}|1783263321|2026-07-05 15:55:21
32|t_gfsfcm7z|recap_updated|{}|1783263322|2026-07-05 15:55:22
