id|entity_id|kind|payload|created_at|local_time
4|sp_nw0xsrms|sprint_created|{"name": "Demo Sprint", "date_start": "2026-07-02", "date_end": "2026-07-15", "source": "demo"}|1783263634|2026-07-05 16:00:34
5|si_m1epn679|sprint_item_created|{"title": "Ship the demo feature end to end.", "status": "active", "sprint_id": "sp_nw0xsrms", "source": "demo"}|1783263634|2026-07-05 16:00:34
6|si_kjj3nnxb|sprint_item_created|{"title": "Research the search index options.", "status": "todo", "sprint_id": "sp_nw0xsrms", "source": "demo"}|1783263634|2026-07-05 16:00:34
7|si_zfvpxx42|sprint_item_created|{"title": "Retire the legacy export job.", "status": "done", "sprint_id": "sp_nw0xsrms", "source": "demo"}|1783263634|2026-07-05 16:00:34
8|t_cf8z7aq0|ticket_created|{"title": "Draft the onboarding email success criteria.", "state": "needs_success", "alias": null, "source": "demo"}|1783263634|2026-07-05 16:00:34
9|t_vxh0bqmx|ticket_created|{"title": "Choose the search indexing approach.", "state": "needs_approach", "alias": null, "source": "demo"}|1783263634|2026-07-05 16:00:34
10|t_w05bp2fm|ticket_created|{"title": "Plan the demo feature rollout.", "state": "needs_plan", "alias": null, "source": "demo"}|1783263634|2026-07-05 16:00:34
11|t_w05bp2fm|link_added|{"from_id": "t_w05bp2fm", "to_id": "si_m1epn679", "kind": "belongs_to", "source": "demo"}|1783263634|2026-07-05 16:00:34
12|t_tvtm5jnk|ticket_created|{"title": "Implement the demo feature slice.", "state": "in_progress", "alias": null, "source": "demo"}|1783263634|2026-07-05 16:00:34
13|t_tvtm5jnk|link_added|{"from_id": "t_tvtm5jnk", "to_id": "si_m1epn679", "kind": "belongs_to", "source": "demo"}|1783263634|2026-07-05 16:00:34
14|t_qwu4xegb|ticket_created|{"title": "Review the analytics dashboard numbers.", "state": "needs_review", "alias": null, "source": "demo"}|1783263634|2026-07-05 16:00:34
15|t_xf05dchp|ticket_created|{"title": "Write the release notes.", "state": "done", "alias": null, "source": "demo"}|1783263634|2026-07-05 16:00:34
16|t_s4u1nbb3|ticket_created|{"title": "Prototype the voice input toggle.", "state": "dropped", "alias": null, "source": "demo"}|1783263634|2026-07-05 16:00:34
17|t_w7edkn0w|ticket_created|{"title": "Fix the flaky login test.", "state": "in_progress", "alias": null, "source": "demo"}|1783263634|2026-07-05 16:00:34
18|t_w7edkn0w|link_added|{"from_id": "t_w7edkn0w", "to_id": "t_qwu4xegb", "kind": "blocks", "source": "demo"}|1783263634|2026-07-05 16:00:34
19|day_2026-07-05|day_created|{"source": "demo"}|1783263634|2026-07-05 16:00:34
